"Estimate","StError","Name","NOAACode"
9.41493956008128,0.204145942296195,"init_log_r","637"
-1.61833714432739,0.384004403133901,"log_r_devs","637"
-1.83428135949983,0.374053446550699,"log_r_devs","637"
-1.18259486571143,0.319290139801405,"log_r_devs","637"
-1.97899449589994,0.595159635764973,"log_r_devs","637"
-1.2625678726997,0.275081505854433,"log_r_devs","637"
-3.61383707366083,0.997710266711103,"log_r_devs","637"
-1.48259624320662,0.283084262826894,"log_r_devs","637"
-2.30451002003625,0.360382730838921,"log_r_devs","637"
-1.19158352547337,0.270111179685261,"log_r_devs","637"
-0.42247721398005,0.284333369848889,"log_r_devs","637"
-0.282594737346927,0.270736472418138,"log_r_devs","637"
-1.85220184873773,0.677198219784171,"log_r_devs","637"
0.24913798301805,0.247527020114712,"log_r_devs","637"
-1.92381562783247,0.413006375833888,"log_r_devs","637"
-2.00746949785808,0.377998220195969,"log_r_devs","637"
-1.10979440116739,0.448692263495195,"log_r_devs","637"
-2.85068762131412,1.34957769593067,"log_r_devs","637"
-2.92295744388197,1.3319811726384,"log_r_devs","637"
9.45413208351835,0.16408570937031,"init_log_mk","637"
9.38104609499827,0.219716442864622,"init_log_sm","637"
9.17472261073292,0.371095029652841,"init_log_boxes","637"
9.11635707057954,0.288964853837649,"init_log_boxes","637"
-0.396674239291106,0.067935973103253,"log_G","637"
-0.59406621153602,0.182521483945818,"init_log_M","637"
0.0208177441331506,0.316071777190965,"log_M_devs","637"
1.18063641186507,0.198060853333722,"log_M_devs","637"
-0.901558641059623,0.328507903824224,"log_M_devs","637"
-1.51597177627362,0.405901403794465,"log_M_devs","637"
-1.80602149600266,0.39590471329218,"log_M_devs","637"
-1.97351060098645,0.301244930902721,"log_M_devs","637"
-1.27155242944732,0.312328997612133,"log_M_devs","637"
-1.16121308391435,0.336477796592467,"log_M_devs","637"
-0.484253047685108,0.275942246151894,"log_M_devs","637"
-1.15262332166552,0.31684359692015,"log_M_devs","637"
-2.17165507647069,0.319770724492017,"log_M_devs","637"
-1.32198575407744,0.2784725247435,"log_M_devs","637"
-1.23664985403405,0.282658837576812,"log_M_devs","637"
-1.70039913998179,0.290346914376992,"log_M_devs","637"
-0.998269387351464,0.273063690733077,"log_M_devs","637"
-0.777753695138167,0.280804573712184,"log_M_devs","637"
-1.3460365498561,0.310231442779701,"log_M_devs","637"
-4.17466876123645,0.159256862025508,"log_hab_decay","637"
0.694909956675658,0.190506043383573,"log_box_decay","637"
-0.133672751920804,0.110880056228831,"log_box_decay","637"
-0.0304019609854122,0.139211914921591,"log_q","637"
1.97429797189091,0.106848572052999,"log_q","637"
1.37032554445597,0.150408532449651,"log_q","637"
-2.8152291040763,0.140151928459064,"log_q_rec_M","637"
-2.71956206888222,0.169613391198988,"log_F_mk","637"
-1.63440119555151,0.154638638934848,"log_F_mk","637"
-4.07486370634391,0.177319353285132,"log_F_mk","637"
-5.85722929425119,0.173278397658266,"log_F_mk","637"
-Inf,0,"log_F_mk","637"
-5.03956131958816,0.126871943892106,"log_F_mk","637"
-5.07005930448633,0.123596144819691,"log_F_mk","637"
-7.05386086876051,0.118929066905906,"log_F_mk","637"
-6.04757124845367,0.123255370899226,"log_F_mk","637"
-5.42995590607583,0.127239266479723,"log_F_mk","637"
-Inf,0,"log_F_mk","637"
-6.47772835822403,0.136260792619172,"log_F_mk","637"
-5.14528340603258,0.119536340670336,"log_F_mk","637"
-3.73900700723225,0.112172914804642,"log_F_mk","637"
-3.10592267514514,0.118527385508482,"log_F_mk","637"
-3.13403346657448,0.11984818623486,"log_F_mk","637"
-2.63104074355832,0.132698250981358,"log_F_mk","637"
-2.88293158568861,0.14870930486217,"log_F_mk","637"
-3.93384316744776,0.149617925571522,"log_F_mk","637"
1.28550860154485,0.193333911443696,"log_pred_sp_dens","637"
-0.321809433843994,0.335222921266052,"log_pred_sp_dens","637"
-0.529751009792801,0.329137509842625,"log_pred_sp_dens","637"
0.135993131623021,0.274615424774119,"log_pred_sp_dens","637"
-0.649969971445172,0.587497662178491,"log_pred_sp_dens","637"
0.0818369371131295,0.224520753625459,"log_pred_sp_dens","637"
-2.25405197848994,0.990751466749261,"log_pred_sp_dens","637"
-0.107430862677658,0.238460824654155,"log_pred_sp_dens","637"
-0.913964354149229,0.316545146962161,"log_pred_sp_dens","637"
0.214342425771718,0.219340591397707,"log_pred_sp_dens","637"
1.2318651125148,0.201208502757307,"log_pred_sp_dens","637"
1.15409178461429,0.217567049077464,"log_pred_sp_dens","637"
-0.400135041418448,0.66393276894991,"log_pred_sp_dens","637"
1.7165850756954,0.20559517546907,"log_pred_sp_dens","637"
-0.440988249797059,0.366790706817737,"log_pred_sp_dens","637"
-0.509261834464609,0.331494354860409,"log_pred_sp_dens","637"
0.9466065942515,0.23801063961124,"log_pred_sp_dens","637"
2.74728544447353,0.141754411965917,"log_pred_sp_dens","637"
2.56136185363332,0.142814757741995,"log_pred_sp_dens","637"
3.25448305721769,0.204975456188945,"log_pred_sm_dens","637"
2.91173543575437,0.145105763065541,"log_pred_sm_dens","637"
3.33014950535657,0.138031550014927,"log_pred_sm_dens","637"
1.94101864374015,0.130012779179418,"log_pred_sm_dens","637"
1.80986803743332,0.188093835958829,"log_pred_sm_dens","637"
1.32284617346311,0.263564798569906,"log_pred_sm_dens","637"
1.64886312890153,0.161698130720959,"log_pred_sm_dens","637"
0.689411073791261,0.2149875711804,"log_pred_sm_dens","637"
1.36853576863529,0.190568399941486,"log_pred_sm_dens","637"
0.955275094463755,0.175696291032344,"log_pred_sm_dens","637"
